,ME,2W-FRI,W-FRI
2017-05-05,,1.1097653057703831,1.1086050192535808
2017-05-12,,,1.1121484037681069
2017-05-19,,1.1197827452783033,1.1186371918361462
2017-05-26,,,1.1268504481819561
2017-05-31,1.1157848976635891,,
2017-06-02,,1.138350135734205,1.137181632851401
2017-06-09,,,1.1298797570928438
2017-06-16,,1.1319523574211676,1.1307728125767431
2017-06-23,,,1.1372955907069926
2017-06-30,1.113268750241584,1.1259740701877214,1.1248433135588947
2017-07-07,,,1.1172303343696695
2017-07-14,,1.1353003172431992,1.1341359814927736
2017-07-21,,,1.145112889944557
2017-07-28,,1.1444901914725965,1.1433241204306652
2017-07-31,1.131404213845711,,
2017-08-04,,,1.1457811220159928
2017-08-11,,1.1467210329354867,1.1455687816931934
2017-08-18,,,1.1453752717923644
2017-08-25,,1.154256780090759,1.1530517672157687
2017-08-31,1.151858141337831,,
2017-09-01,,,1.1630635869532797
2017-09-08,,1.1681365038814953,1.1669677604435837
2017-09-15,,,1.1662709264205768
2017-09-22,,1.1611595974800217,1.1599486453383916
2017-09-29,,,1.1562684875251417
2017-09-30,1.1441453579256968,,
2017-10-06,,1.1618688231601937,1.1606115463901643
2017-10-13,,,1.1721693236903548
2017-10-20,,1.1677083474714136,1.1665151634421873
2017-10-27,,,1.1665192140695282
2017-10-31,1.1571783272143177,,
2017-11-03,,1.1758528510088835,1.1746488795686802
2017-11-10,,,1.1713811005499517
2017-11-17,,1.1797929023764953,1.17860304578284
2017-11-24,,,1.185256130019398
2017-11-30,1.1670414406952108,,
2017-12-01,,1.1829541009882774,1.1818109322555042
2017-12-08,,,1.180324242306641
2017-12-15,,1.1900392747844177,1.1888811731198117
2017-12-22,,,1.1870996919344052
2017-12-29,,1.1951739774689254,1.1940183015018997
2017-12-31,1.1812225755081036,,
2018-01-05,,,1.2085675119869261
2018-01-12,,1.2149953838431566,1.2136274597844237
2018-01-19,,,1.2145460478198686
2018-01-26,,1.2310747308150096,1.2295559087535586
2018-01-31,1.2065410109769734,,
2018-02-02,,,1.1969900237810522
2018-02-09,,1.1701517895119282,1.1682890558957
2018-02-16,,,1.196702776475272
2018-02-23,,1.2007018183588452,1.198667532654888
2018-02-28,1.1783679139698306,,
2018-03-02,,,1.1886815214759663
2018-03-09,,1.2073303122882237,1.2055220919325835
2018-03-16,,,1.2030039234358147
2018-03-23,,1.1810599353307056,1.1789997481415186
2018-03-30,,,1.1906822305647429
2018-03-31,1.1770971217153101,,
2018-04-06,,1.1834959542708057,1.1815363423113823
2018-04-13,,,1.191030363929733
2018-04-20,,1.1870502129886833,1.1849875998527042
2018-04-27,,,1.1844879687539054
2018-04-30,1.1671493780691118,,
2018-05-04,,1.186401919709302,1.1843328289401331
2018-05-11,,,1.196324682429835
2018-05-18,,1.184858597181962,1.1828097148579249
2018-05-25,,,1.1938931368514103
2018-05-31,1.181550999523843,,
2018-06-01,,1.2005658492401547,1.1984696541226478
2018-06-08,,,1.2024211549235728
2018-06-15,,1.2036291965150283,1.2015206958117604
2018-06-22,,,1.1959449515437008
2018-06-29,,1.192312684829071,1.1901507833060336
2018-06-30,1.1765241331934542,,
2018-07-06,,,1.1997562220342017
2018-07-13,,1.208316129824915,1.2060585772439019
2018-07-20,,,1.200963133253616
2018-07-27,,1.20184983492469,1.1995587186099153
2018-07-31,1.1861233898492078,,
2018-08-03,,,1.2013633086788387
2018-08-10,,1.2047513719519836,1.2024201975954336
2018-08-17,,,1.1990681807064318
2018-08-24,,1.2137563772432296,1.2114825364273152
2018-08-31,1.1990768721008789,,1.2126608388530544
2018-09-07,,1.2003384885518253,1.19812783118013
2018-09-14,,,1.2017310755101283
2018-09-21,,1.2062897458502506,1.2040035510502338
2018-09-28,,,1.2037088309847965
2018-09-30,1.190082104648749,,
2018-10-05,,1.1853758768690272,1.1831523637977948
2018-10-12,,,1.1734197398576154
2018-10-19,,1.1723380611097238,1.1701316831382125
2018-10-26,,,1.1594458576172244
2018-10-31,1.1495714188075994,,
2018-11-02,,1.168314234858462,1.1665884073710253
2018-11-09,,,1.170770763279966
2018-11-16,,1.1755413267884538,1.173995356424736
2018-11-23,,,1.1572255099591395
2018-11-30,1.1666751367277322,1.1818570323653326,1.1808635904061384
2018-12-07,,,1.172938767021122
2018-12-14,,1.1692640115667254,1.168205587856567
2018-12-21,,,1.147723141968526
2018-12-28,,1.1660756231393068,1.1655549152355233
2018-12-31,1.1563574930286444,,
2019-01-04,,,1.1773452825248367
2019-01-11,,1.188599017410859,1.1879720886020035
2019-01-18,,,1.1957601455710614
2019-01-25,,1.2019955746356865,1.2014166472752232
2019-01-31,1.203337795522347,,
2019-02-01,,,1.2126739647108518
2019-02-08,,1.2160731208761126,1.2155037824294572
2019-02-15,,,1.2235131778437804
2019-02-22,,1.229708951125532,1.2291170672878864
2019-02-28,1.2083199099031183,,
2019-03-01,,,1.2197720578560833
2019-03-08,,1.2192539688611708,1.2188408915218862
2019-03-15,,,1.2368109711133444
2019-03-22,,1.2432318991634659,1.2429811273055542
2019-03-29,,,1.2494706328348248
2019-03-31,1.2352041075586913,,
2019-04-05,,1.2576895457399002,1.2573900889938248
2019-04-12,,,1.2559236999112042
2019-04-19,,1.2567781653137327,1.2564754247662786
2019-04-26,,,1.2639213979601354
2019-04-30,1.2491229304336278,,
2019-05-03,,1.2648559991666433,1.264567058175714
2019-05-10,,,1.253494273055825
2019-05-17,,1.2486599553050621,1.2480595813314581
2019-05-24,,,1.2462780948270664
2019-05-31,1.2385563607383288,1.252480296480759,1.2516184712410632
2019-06-07,,,1.2745718540962587
2019-06-14,,1.2777316448046698,1.2767870787987727
2019-06-21,,,1.2986888518945625
2019-06-28,,1.3029108441299802,1.3019796263508379
2019-06-30,1.2885537717402493,,
2019-07-05,,,1.3080150562021131
2019-07-12,,1.3089565313600093,1.3079506500418328
2019-07-19,,,1.3081519481796502
2019-07-26,,1.314121618329638,1.313212312872674
2019-07-31,1.2928966508517528,,
2019-08-02,,,1.3090628910938078
2019-08-09,,1.3200023996045636,1.3185514422858442
2019-08-16,,,1.3286690507090504
2019-08-23,,1.3240618667070791,1.3224876822082718
2019-08-30,,,1.339462581891823
2019-08-31,1.3258703111957317,,
2019-09-06,,1.3483126316948697,1.3464880400984225
2019-09-13,,,1.3300757373597767
2019-09-20,,1.3418976550915356,1.3406708041138966
2019-09-27,,,1.3331863591564284
2019-09-30,1.3209426181389057,,
2019-10-04,,1.3464127443345961,1.3451186249517273
2019-10-11,,,1.3359884331766632
2019-10-18,,1.3394505443280744,1.3380798207956544
2019-10-25,,,1.3451400425559197
2019-10-31,1.3401085101596353,,
2019-11-01,,1.3606619023782307,1.3592466290702947
2019-11-08,,,1.3459848504297678
2019-11-15,,1.3571250468498508,1.3558494549407791
2019-11-22,,,1.3578861844128027
2019-11-29,,1.3637932705576503,1.3625218576701603
2019-11-30,1.347862545662363,,
2019-12-06,,,1.3604295433576
2019-12-13,,1.37262738962614,1.3712928192497815
2019-12-20,,,1.3772089611441332
2019-12-27,,1.3884684435206087,1.3870771715156398
